keyword      , clientTime, serverTime, totalTime, resultLength, payloadSize, w1
F10800#F10842,         96,         68,       165,            0,         400, 10
F10800#F11211,         78,         69,       149,            0,         400, 10
F10800#F10128,         81,         69,       151,            0,         400, 10
F10800#F10105,        103,         91,       195,            0,         400, 10
F10800#F10273,         95,         84,       180,            0,         400, 10
F10800#F10284,         95,         87,       184,            0,         400, 10
F10800#F10028,         91,         76,       168,            0,         400, 10
F10800#F10554,         91,         75,       167,            0,         400, 10
F10800#F10058,         90,        110,       201,            0,         400, 10
F10800#F10439,        125,        107,       233,            0,         400, 10
F10800#F11134,        129,         79,       209,            0,         400, 10
F10800#F11785,         88,         74,       163,            0,         400, 10
F10800#F10093,         81,         74,       156,            0,         400, 10
F10800#F1108 ,         82,         77,       160,            0,         400, 10
F10800#F10574,         75,        136,       212,            0,         400, 10
F10800#F10553,         80,         68,       151,            0,         400, 10
F10800#F10333,         87,         73,       161,            0,         400, 10
F10800#F1085 ,         84,         69,       154,            0,         400, 10
F10800#F10295,         83,         80,       165,            0,         400, 10
F10800#F10262,         82,         67,       150,            0,         400, 10
F10800#F10148,         83,         67,       151,            0,         400, 10
F10800#F10486,         77,         69,       147,            0,         400, 10
F10800#F1051 ,         88,         74,       162,            0,         400, 10
F10800#F10075,         84,        142,       227,            0,         400, 10
F10800#F10137,         74,       4391,      4466,            0,         400, 10
F10800#F11306,        118,         90,       210,            0,         400, 10
F10800#F10840,        111,        109,       222,            0,         400, 10
F10800#F10144,        122,         90,       213,            0,         400, 10
F10800#F10030,        114,         94,       209,            0,         400, 10
F10800#F10682,        104,         86,       191,            0,         400, 10
F10800#F10003,        101,         75,       177,            0,         400, 10
F10800#F10331,         81,         80,       162,            0,         400, 10
F10800#F10803,         87,         70,       158,            0,         400, 10
F10800#F1004 ,         82,         67,       150,            0,         400, 10
F10800#F10569,         78,         68,       147,            0,         400, 10
F10800#F10051,         86,         67,       155,            0,         400, 10
F10800#F11141,         78,         71,       150,            0,         400, 10
F10800#F1310 ,         83,         75,       159,            0,         400, 10
F10800#F10363,         82,         68,       151,            0,         400, 10
F10800#F10677,         80,         69,       151,            0,         400, 10
F10800#F10753,         73,         72,       146,            0,         400, 10
F10800#F10196,         86,         71,       158,            0,         400, 10
F10800#F10251,         84,         68,       153,            0,         400, 10
F10800#F10473,         86,         68,       155,            0,         400, 10
F10800#F10327,         76,         72,       149,            0,         400, 10
F10800#F1081 ,         87,        137,       225,            0,         400, 10
F10800#F1007 ,         79,         68,       148,            0,         400, 10
F10800#F10969,         81,        134,       217,            0,         400, 10
F10800#F10107,         80,         68,       149,            0,         400, 10
F10800#F10359,         78,         67,       146,            0,         400, 10
F10800#F10002,         79,         73,       152,            0,         400, 10
F10800#F1008 ,         74,         68,       143,            0,         400, 10
F10800#F12082,         76,         68,       146,            0,         400, 10
F10800#F10059,         84,         69,       154,            0,         400, 10
F10800#F10269,         81,         70,       152,            0,         400, 10
F10800#F1105 ,        122,         70,       193,            0,         400, 10
F10800#F10184,         81,         73,       154,            0,         400, 10
F10800#F10701,         79,         82,       162,            0,         400, 10
F10800#F10883,         94,         69,       164,            0,         400, 10
F10800#F1057 ,         82,         71,       154,            0,         400, 10
F10800#F10071,         86,         83,       170,            0,         400, 10
F10800#F11041,        108,        100,       209,            0,         400, 10
F10800#F10203,         94,        248,       343,            1,         400, 10
F10800#F10352,        106,         82,       190,            0,         400, 10
F10800#F10168,         79,         71,       152,            0,         400, 10
F10800#F10461,         81,         72,       154,            0,         400, 10
F10800#F10145,         86,         70,       156,            0,         400, 10
F10800#F12033,         86,         79,       166,            0,         400, 10
F10800#F11179,         86,         70,       158,            0,         400, 10
F10800#F1    ,         74,         69,       144,            0,         400, 10
F10800#F11549,         74,         75,       150,            0,         400, 10
F10800#F10421,         85,         72,       158,            0,         400, 10
F10800#F10323,         91,         76,       169,            0,         400, 10
F10800#F10414,         91,         71,       163,            0,         400, 10
F10800#F12399,         84,         73,       158,            0,         400, 10
F10800#F10506,         87,         70,       159,            0,         400, 10
F10800#F10214,         79,         70,       150,            0,         400, 10
F10800#F11320,         83,         69,       154,            0,         400, 10
F10800#F10010,         85,         76,       162,            0,         400, 10
F10800#F10104,         81,         67,       148,            0,         400, 10
F10800#F10155,         80,         71,       153,            0,         400, 10
