keyword,clientTime,serverTime,exTime,totalTime,resultLength,payloadSize,w1,w2
F19998#F2520,81,57,0,139,0,360,10,446
F19998#F2514,78,55,0,135,0,360,10,447
F19998#F2504,53,43,0,97,0,360,10,448
F19998#F2493,61,38,0,100,0,360,10,449
F19998#F2482,54,89,0,144,0,360,10,450
F19998#F2463,54,39,0,94,0,360,10,451
F19998#F2457,57,40,0,98,0,360,10,452
F19998#F2448,53,90,0,144,0,360,10,453
F19998#F2445,111,74,0,186,0,360,10,454
F19998#F2440,57,41,0,100,0,360,10,455
F19998#F2426,60,41,0,103,0,360,10,456
F19998#F2416,52,35,0,88,0,360,10,457
F19998#F2411,54,38,0,93,0,360,10,458
F19998#F2403,59,46,0,107,0,360,10,459
F19998#F2399,53,38,0,92,0,360,10,460
F19998#F2394,57,40,0,99,0,360,10,461
F19998#F2381,53,40,0,94,0,360,10,462
F19998#F2373,56,42,0,99,0,360,10,463
F19998#F2366,50,84,0,135,0,360,10,464
F19998#F2357,61,64,0,127,0,360,10,465
F19998#F2345,65,102,0,168,0,360,10,466
F19998#F2335,72,42,0,116,0,360,10,467
F19998#F2333,60,39,0,100,0,360,10,468
F19998#F2326,61,39,0,101,0,360,10,469
F19998#F2319,58,41,0,101,0,360,10,470
F19998#F2312,55,43,0,100,0,360,10,471
F19998#F2305,60,40,0,101,0,360,10,472
F19998#F2303,55,47,0,103,0,360,10,473
F19998#F2297,51,53,0,105,0,360,10,474
F19998#F2294,51,42,0,94,0,360,10,475
F19998#F2284,55,84,0,140,0,360,10,476
F19998#F2278,47,38,0,85,0,360,10,477
F19998#F2271,53,36,0,90,0,360,10,478
F19998#F2263,49,37,0,87,0,360,10,479
F19998#F2251,45,82,0,128,0,360,10,480
F19998#F2244,53,38,0,92,0,360,10,481
F19998#F2238,62,57,0,120,0,360,10,482
F19998#F2227,48,40,0,89,0,360,10,483
F19998#F2221,58,40,0,99,0,360,10,484
F19998#F2215,48,87,0,136,0,360,10,485
F19998#F2209,54,35,0,90,0,360,10,486
F19998#F2202,44,37,0,82,0,360,10,487
F19998#F2199,55,37,0,93,0,360,10,488
F19998#F2185,53,37,0,91,0,360,10,489
F19998#F2180,48,86,0,135,0,360,10,490
F19998#F2172,50,35,0,86,0,360,10,491
F19998#F2165,59,83,0,144,0,360,10,492
F19998#F2158,58,36,0,95,0,360,10,493
F19998#F2149,51,36,0,88,0,360,10,494
F19998#F2139,202,133,0,338,0,360,10,495
F19998#F2135,68,49,0,119,0,360,10,496
F19998#F2130,136,75,0,213,0,360,10,497
F19998#F2120,83,100,0,184,0,360,10,498
F19998#F2118,87,53,0,141,0,360,10,499
F19998#F2109,123,103,0,227,0,360,10,500
F19998#F2099,54,37,0,92,0,360,10,501
F19998#F2095,50,36,0,87,0,360,10,502
F19998#F2085,52,78,0,131,0,360,10,503
F19998#F2081,49,35,0,85,0,360,10,504
F19998#F2073,48,37,0,87,0,360,10,505
F19998#F2067,48,37,0,86,0,360,10,506
F19998#F2052,49,32,0,82,0,360,10,507
F19998#F2048,65,30,0,97,0,360,10,508
F19998#F2039,88,81,0,170,0,360,10,509
F19998#F2037,88,33,0,121,0,360,10,510
F19998#F2026,46,36,0,83,0,360,10,511
F19998#F2023,87,86,0,174,0,360,10,512
F19998#F2013,54,38,0,93,0,360,10,513
F19998#F2010,54,79,0,135,0,360,10,514
F19998#F2005,48,86,0,135,0,360,10,515
F19998#F1998,48,41,0,90,0,360,10,516
F19998#F1997,60,38,0,99,0,360,10,517
F19998#F1989,50,36,0,87,0,360,10,518
F19998#F1980,89,39,0,130,0,360,10,519
F19998#F1979,53,37,0,91,0,360,10,520
F19998#F1972,47,35,0,83,0,360,10,521
F19998#F1970,93,81,0,175,0,360,10,522
F19998#F1967,54,34,0,90,0,360,10,523
F19998#F1959,82,38,0,121,0,360,10,524
F19998#F1955,63,42,0,106,0,360,10,525
F19998#F1951,48,38,0,88,0,360,10,526
F19998#F1946,49,38,0,88,0,360,10,527
F19998#F1943,50,37,0,88,0,360,10,528
F19998#F1940,49,37,0,87,0,360,10,529
F19998#F1930,52,36,0,89,0,360,10,530
F19998#F1921,45,83,0,129,0,360,10,531
F19998#F1914,47,87,0,136,0,360,10,532
F19998#F1906,53,42,0,95,0,360,10,533
F19998#F1902,59,35,0,95,0,360,10,534
F19998#F1897,55,36,0,91,0,360,10,535
F19998#F1894,50,88,0,139,0,360,10,536
F19998#F1889,46,81,0,127,0,360,10,537
F19998#F1883,51,40,0,92,0,360,10,538
F19998#F1881,54,86,0,141,0,360,10,539
F19998#F1877,44,39,0,84,0,360,10,540
F19998#F1870,50,38,0,89,0,360,10,541
F19998#F1863,46,87,0,133,0,360,10,542
F19998#F1860,44,42,0,87,0,360,10,543
F19998#F1855,57,41,0,99,0,360,10,544
F19998#F1851,54,40,0,95,0,360,10,545
F19998#F1848,189,63,0,255,0,360,10,546
F19998#F1836,118,74,0,194,0,360,10,547
F19998#F1833,91,52,0,144,0,360,10,548
F19998#F1830,104,76,0,181,0,360,10,549
F19998#F1827,58,98,0,158,0,360,10,550
F19998#F1820,51,95,0,146,0,360,10,551
F19998#F1812,55,107,0,163,0,360,10,552
F19998#F1809,58,61,0,121,0,360,10,553
F19998#F1804,57,39,0,97,0,360,10,554
