keyword,clientSearchTime,serverTime,resultLength
F10331#F53175,975.308µs,870.478473ms,2
F8039#F52148,1.65685ms,685.986406ms,6
F23448#F44816,1.753393ms,1.299859282s,16
F25690#F46036,1.768825ms,821.703144ms,6
F18236#F39043,3.090604ms,1.195347512s,20
F14353#F43712,1.208054ms,646.327331ms,6
F9410#F29752,686.223µs,1.074006449s,1
F20591#F62072,682.569µs,985.886076ms,1
F26893#F34334,1.358643ms,661.540907ms,2
F13187#F24376,2.981483ms,1.216780226s,27
F32120#F39799,1.122839ms,677.903844ms,3
F15726#F29406,2.384766ms,1.216027017s,15
F59238#F18674,1.031756ms,712.888502ms,2
F53191#F29602,1.249227ms,672.213067ms,3
F9632#F16844,3.249011ms,1.211900649s,43
F14074#F12332,873.038µs,1.20219664s,18
F62084#F18597,718.944µs,1.013981002s,1
F24009#F3472,1.127907ms,726.527283ms,2
F34382#F6876,846.53µs,720.78189ms,3
F33604#F40964,740.027µs,1.112675814s,1
F15980#F39096,2.484765ms,1.204235224s,12
F50174#F29134,1.659858ms,822.503784ms,9
F10#F29717,2.012346ms,1.010069075s,11
F51209#F52539,762.066µs,821.347296ms,0
F52740#F23256,1.907492ms,917.618037ms,9
F61232#F53589,1.083245ms,747.099152ms,1
F28409#F45479,1.581476ms,651.153655ms,3
F3474#F5264,3.391295ms,1.228900698s,36
F33996#F40177,1.63239ms,843.768938ms,3
F56626#F28361,958.417µs,799.503147ms,1
F19168#F51252,1.101035ms,665.261295ms,4
F5402#F17001,3.474208ms,1.232797245s,44
F27230#F48636,381.295µs,986.653147ms,0
F60770#F37124,896.379µs,773.302058ms,0
F31060#F30523,2.205056ms,937.151872ms,6
F17384#F11913,2.073846ms,1.192913823s,18
F12166#F43046,1.554889ms,1.116705003s,14
F19806#F3285,3.992929ms,1.217559593s,35
F18492#F38048,1.080747ms,976.737641ms,2
F17517#F29195,1.761684ms,791.462736ms,9
F42668#F20940,1.795187ms,1.037660181s,7
F63149#F34335,722.94µs,985.500663ms,1
F28336#F51797,893.515µs,755.946327ms,1
F16142#F34572,1.341643ms,667.734564ms,4
F61993#F25671,747.062µs,939.25727ms,1
F61882#F59135,682.215µs,932.819392ms,0
F38680#F21875,2.160867ms,733.034916ms,8
F58041#F59201,971.967µs,683.97759ms,1
F30404#F39182,853.961µs,741.614804ms,0
F20422#F17744,5.285891ms,1.203298422s,27
F60506#F33800,643.026µs,918.063409ms,0
F30280#F19481,2.074014ms,964.602421ms,9
F56681#F35723,730.514µs,973.786623ms,0
F51510#F24389,1.155461ms,669.49838ms,4
F26914#F8099,719.136µs,999.837214ms,0
F41864#F931,2.052171ms,1.136922911s,11
F34797#F7845,1.374822ms,684.554939ms,6
F14864#F7369,3.347661ms,1.213259268s,41
F44371#F22999,1.267668ms,706.773255ms,3
F23643#F57370,1.043067ms,712.778708ms,2
F52771#F58899,734.111µs,927.676175ms,0
F54939#F48379,1.142262ms,770.575558ms,2
F23107#F24492,2.393026ms,1.198650053s,14
F4542#F11353,4.424934ms,1.199180653s,38
F33445#F39720,405.918µs,964.663883ms,1
F38261#F56484,1.119357ms,759.364111ms,3
F9500#F44388,2.162127ms,1.118243478s,12
F33655#F7661,1.658024ms,899.365189ms,8
F4978#F56553,731.903µs,786.822706ms,2
F60097#F40079,726.885µs,918.688623ms,0
F9853#F27159,2.413682ms,1.09956702s,15
F22114#F63650,728.29µs,929.373069ms,1
F11967#F39815,662.875µs,885.919563ms,1
F11590#F59553,658.674µs,876.38883ms,0
F56744#F29707,1.101538ms,684.058261ms,1
F22257#F47533,1.046998ms,766.480378ms,3
F32554#F25375,1.506113ms,773.146898ms,8
F45824#F12667,2.136364ms,1.182073608s,13
F37750#F43108,1.173936ms,815.391707ms,3
F5813#F25210,1.513796ms,653.181511ms,4
F19294#F21097,2.244906ms,1.183933129s,18
